Well,Omit,Sample,Target,Task,Dyes,Cq,Cq Conf,Amp Score,Amp Status,Annotated,Threshold,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Tm4,Curve Quality,Result Quality Issues
A17,false,2530,75,Unknown,SYBR,21.312120151961224,0.9888537649621626,2.822278535904725,Amp,false,82906.6692880069,3,12,87.95435333251953,,,,,
A18,false,2530,75,Unknown,SYBR,21.461511442577738,0.9886431619261229,2.7986852116169216,Amp,false,82906.6692880069,3,11,88.06707000732422,,,,,
A19,false,2530,75,Unknown,SYBR,21.497017308838473,0.9894183621334971,2.801480219399052,Amp,false,82906.6692880069,3,11,88.06707000732422,,,,,
A21,false,2530,BLIMP,Unknown,SYBR,21.689401574935104,0.9911455325599748,2.7924854954551246,Amp,false,55077.221041119046,3,12,89.87627410888672,,,,,
A22,false,2530,BLIMP,Unknown,SYBR,21.62494297369259,0.9900911342042157,2.7838140438394365,Amp,false,55077.221041119046,3,12,89.87627410888672,,,,,
A23,false,2530,BLIMP,Unknown,SYBR,21.746377429373425,0.9915279074794694,2.79674725440476,Amp,false,55077.221041119046,3,12,89.87627410888672,,,,,
C1,false,2555,GAPDH,Unknown,SYBR,18.066857004375628,0.9830977423051176,2.827033563466477,Amp,false,98309.513954869,3,9,85.0262680053711,,,,,
C2,false,2555,GAPDH,Unknown,SYBR,18.064153332350024,0.9791168499261436,2.8257362440441276,Amp,false,98309.513954869,3,9,85.0262680053711,,,,,
C3,false,2555,GAPDH,Unknown,SYBR,18.055476910677896,0.9811929817144408,2.8253908029553316,Amp,false,98309.513954869,3,11,85.0262680053711,,,,,
C5,false,2555,RPL,Unknown,SYBR,15.445157866637576,0.989850240536333,2.8165347505255136,Amp,false,77860.66286623265,3,8,82.88780212402344,,,,,
C6,false,2555,RPL,Unknown,SYBR,15.36726844907367,0.9894670347201159,2.814160724748122,Amp,false,77860.66286623265,3,7,83.00054931640625,,,,,
C7,false,2555,RPL,Unknown,SYBR,15.447372022938968,0.9895023090194753,2.81430927522227,Amp,false,77860.66286623265,3,7,83.00054931640625,,,,,
C9,false,2555,ACT,Unknown,SYBR,16.005845413353125,0.9850963853061148,2.8015189506199207,Amp,false,60647.08996969879,3,9,88.74800109863281,,,,,
C10,false,2555,ACT,Unknown,SYBR,16.132366570814668,0.9826244718707109,2.77497992810269,Amp,false,60647.08996969879,3,8,88.74800109863281,,,,,
C11,false,2555,ACT,Unknown,SYBR,16.143044855581174,0.9812110190940556,2.773143452123758,Amp,false,60647.08996969879,3,8,88.74800109863281,,,,,
C13,false,2555,71,Unknown,SYBR,24.02561852657047,0.9831450284830623,2.7858516597032894,Amp,false,68722.3657709478,3,14,86.82943725585938,,,,,
C14,false,2555,71,Unknown,SYBR,23.761072695303532,0.9902415690384697,2.7933557621196106,Amp,false,68722.3657709478,3,14,86.82943725585938,,,,,
C15,false,2555,71,Unknown,SYBR,23.571894159152457,0.9899024899020998,2.809965759994864,Amp,false,68722.3657709478,3,14,86.82943725585938,,,,,
C17,false,2555,75,Unknown,SYBR,19.822170189795976,0.9900890919145244,2.8146879218780283,Amp,false,82906.6692880069,3,10,88.06707000732422,,,,,
C18,false,2555,75,Unknown,SYBR,19.830758268778737,0.9908097431494536,2.8172726718801133,Amp,false,82906.6692880069,3,11,88.06707000732422,,,,,
C19,false,2555,75,Unknown,SYBR,19.849388886902467,0.9907930839864748,2.8141957423581103,Amp,false,82906.6692880069,3,10,88.06707000732422,,,,,
C21,false,2555,BLIMP,Unknown,SYBR,21.96627306585067,0.9914907759869395,2.7998344619859523,Amp,false,55077.221041119046,3,14,89.87627410888672,,,,,
C22,false,2555,BLIMP,Unknown,SYBR,21.93435704907789,0.9913494876707637,2.8066760364869454,Amp,false,55077.221041119046,3,11,89.989013671875,,,,,
C23,false,2555,BLIMP,Unknown,SYBR,21.937482993485197,0.9915440059376714,2.8036543042281443,Amp,false,55077.221041119046,3,15,89.87627410888672,,,,,
